Dashboard,Category,KPI / Ratio,Formula,Primary Data Source,Upload / Input File,API Endpoint,Database Tables,Benchmark,Code Reference
Financials KPI Dashboard,Balance Sheet,LTV (Loans / Building),Long-term Loans / Buildings x 100,P&L + Balance Sheet,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.bs_data,< 75%,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Balance Sheet,Asset / Liability Ratio,Total Assets / Total Liabilities,Balance Sheet totals,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.bs_data,> 1.5x,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Balance Sheet,Debt-to-Equity,Total Liabilities / Equity,Balance Sheet,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.bs_data,< 2.0x,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Balance Sheet,Cash Balance,Total Bank Accounts from BS,Balance Sheet bank lines,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.bs_data,> $10K,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Balance Sheet,DSCR (Est.),NOI / (Interest Expense x 1.2),P&L NOI + interest,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,> 1.25x,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Core inputs,NOI (financial),Total Revenue - Total Expenses + Interest Expense,P&L rows matched by label,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,Base metric,frontend/src/utils/rentalKpiEngine.ts (calcKpis)
Financials KPI Dashboard,Core inputs,Total Revenue,Total Income row OR sum income/rent lines,P&L,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,Base metric,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Core inputs,Buildings / Property Value,Buildings OR Property & Equipment BS line,Balance Sheet,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.bs_data,For LTV/Cap Rate,frontend/src/utils/rentalKpiEngine.ts
CFO Dashboard,Profitability,Revenue,Total Revenue from P&L,First company's uploaded financials,Financials upload (company #1),GET /api/rentals/financials/{id},r_financial_uploads.pl_data,Trend,frontend/src/pages/RentalCfoDashboard.tsx
CFO Dashboard,Profitability,Expenses,Sum of P&L expense lines,First company's P&L,Financials upload,GET /api/rentals/financials/{id},r_financial_uploads.pl_data,Trend,frontend/src/pages/RentalCfoDashboard.tsx
CFO Dashboard,Profitability,Net Income,Net Income P&L row,First company's P&L,Financials upload,GET /api/rentals/financials/{id},r_financial_uploads.pl_data,Trend,frontend/src/pages/RentalCfoDashboard.tsx
CFO Dashboard,Profitability,Net Margin,Net Income / Revenue x 100,Derived,P&L,GET /api/rentals/financials/{id},Derived,Trend,frontend/src/pages/RentalCfoDashboard.tsx
CFO Dashboard,Balance Sheet,Cash (Bank),Total Bank Accounts BS line,Balance Sheet,Financials upload,GET /api/rentals/financials/{id},r_financial_uploads.bs_data,Monitor,frontend/src/pages/RentalCfoDashboard.tsx
CFO Portfolio,Portfolio KPI,NOI,Collected - Total Expenses (filtered companies),Rent Receivable + expenses,RENT RECEIVABLE + expense entries,GET /api/rentals/portfolio-summary,r_companies + r_expenses,Positive,frontend/src/pages/rental/RentalCfoPortfolio.tsx
CFO Portfolio,Portfolio KPI,Occupancy,Occupied / Total Units,Company Registry,RENT RECEIVABLE.xlsx,GET /api/rentals/companies,r_units,> 90%,frontend/src/hooks/useRentalCfoData.ts
CFO Portfolio,Portfolio KPI,Collection Rate,Collected / Billed,Rent Receivable monthly totals,RENT RECEIVABLE.xlsx,GET /api/rentals/portfolio-summary,r_companies.monthly_rent_data,> 95%,frontend/src/hooks/useRentalCfoData.ts
CFO Portfolio,Portfolio KPI,Expense Ratio,Total Expenses / Gross Potential Rent,Expenses + unit GPR,Expenses + Rent Receivable,GET /api/rentals/portfolio-summary,r_expenses + r_units,< 30% healthy,frontend/src/hooks/useRentalCfoData.ts
CFO Portfolio,Portfolio KPI,DSCR,(NOI x 12) / (Monthly EMI x 12),NOI + loan EMI,Loans module + portfolio,GET /api/real-estate/loans + portfolio-summary,loans table,> 1.25x,frontend/src/hooks/useRentalCfoData.ts
CFO Portfolio,Portfolio KPI,Cash Position,NOI - Total Monthly EMI,Portfolio NOI + loans,Loans + Rent Receivable,Portfolio + loans API,loans.loan_emi,Positive,frontend/src/hooks/useRentalCfoData.ts
CFO Portfolio,Portfolio KPI,Vacancy Cost,Portfolio vacancy_loss sum,Rent Receivable sync,RENT RECEIVABLE.xlsx,GET /api/rentals/portfolio-summary,r_companies.vacancy_loss,Minimize,frontend/src/hooks/useRentalCfoData.ts
CFO Portfolio,Health Score,Occupancy (25 pts),min(25 Occupancy% x 25),Registry occupancy,RENT RECEIVABLE.xlsx,GET /api/rentals/portfolio-summary,r_units,25 max,frontend/src/pages/rental/RentalCfoPortfolio.tsx
CFO Portfolio,Health Score,Collections (25 pts),min(25 Collection Rate x 25),Rent Receivable collected,RENT RECEIVABLE.xlsx,GET /api/rentals/portfolio-summary,r_companies.monthly_rent_data,25 max,frontend/src/pages/rental/RentalCfoPortfolio.tsx
CFO Portfolio,Health Score,Expense Control (25 pts),25 if ratio<30%; 18 if <45%; else 10,Expenses vs GPR,Expenses + Rent Receivable,GET /api/rentals/portfolio-summary,r_expenses,25 max,frontend/src/pages/rental/RentalCfoPortfolio.tsx
CFO Portfolio,Health Score,Debt Coverage (25 pts),25 if DSCR>1.25; 18 if >=1.0; else 8,Loans + NOI,Loans + portfolio,GET /api/real-estate/loans,loans,25 max,frontend/src/pages/rental/RentalCfoPortfolio.tsx
Financial Ratios,Profitability,NOI Margin,NOI / Revenue x 100,Uploaded P&L per company,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,> 35%,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Profitability,Net Profit Margin,Net Income / Revenue x 100,P&L,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,> 10%,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Profitability,Operating Expense Ratio,Total OpEx / Revenue x 100,P&L expenses,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,< 60%,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Profitability,EBITDA Margin,EBITDA / Revenue x 100; EBITDA = NOI + Depreciation + Amortization,P&L,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,> 45%,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Profitability,Return on Assets (ROA),Net Income / Total Assets x 100,P&L + Balance Sheet,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads,> 4%,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Profitability,Return on Equity (ROE),Net Income / Equity x 100,P&L + Balance Sheet,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads,> 8%,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Profitability,Cash-on-Cash Return,Pre-tax Cash Flow / Equity x 100,P&L + CF + BS,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads,> 7%,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Profitability,Gross Rent Multiplier,Property Value / Annual Revenue,BS buildings + P&L revenue,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads,< 14x,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Liquidity,Current Ratio,Current Assets / Current Liabilities,Balance Sheet,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.bs_data,> 1.5x,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Liquidity,Quick Ratio,(Current Assets - Inventory) / Current Liabilities,Balance Sheet,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.bs_data,> 1.0x,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Liquidity,Cash Ratio,Cash & Bank / Current Liabilities,Balance Sheet,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.bs_data,> 0.2x,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Solvency,Debt-to-Equity,Total Liabilities / Equity,Balance Sheet,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.bs_data,< 5x RE,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Solvency,Interest Coverage,NOI / Interest Expense,P&L,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,> 1.5x,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Solvency,LTV,Mortgage or Long-term Loans / Property Value (Buildings) x 100,Balance Sheet + loans,Financials + Loans,GET /api/rentals/financials + /api/real-estate/loans,r_financial_uploads + loans,< 80%,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Solvency,DSCR,NOI / Total Debt Service (est: NOI / Interest x 1.2),P&L + loans,Financials + Loans,GET /api/rentals/financials + loans,loans.loan_emi,> 1.25x,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Rental KPIs,Occupancy Rate,Occupied / Total Units x 100,Company Registry,RENT RECEIVABLE.xlsx,GET /api/rentals/portfolio-summary,r_units,> 90%,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Rental KPIs,Economic Occupancy,Rent Collected / Gross Potential x 100,Rent Receivable,RENT RECEIVABLE.xlsx,GET /api/rentals/portfolio-summary,r_companies.monthly_rent_data,> 92%,frontend/src/pages/rental/RentalFinancialRatios.tsx
Financial Ratios,Rental KPIs,Cap Rate,NOI / Property Value x 100,P&L NOI + BS buildings,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads,4-6%,frontend/src/pages/rental/RentalFinancialRatios.tsx
Company Registry,Sync,Collected (per company),Sum of unit rent_history for selected month,Rent Receivable Excel,RENT RECEIVABLE.xlsx,GET /api/rentals/companies?month=YYYY-MM,r_units.rent_history,Per company,frontend/src/pages/settings/CompanyRegistry.tsx
Company Registry,Sync,Last Sync Month,Target month from Sync Rent Data upload,Rent Receivable sync,RENT RECEIVABLE.xlsx,POST /api/rentals/upload-rent-receivable/confirm,r_companies.last_sync_month,Jun-2026 etc,backend/routers/rentals/router.py
Rentals Companies,Card KPI,Collected,Rent Receivable monthly_rent_data[month] OR sync_collected,Rent Receivable Excel,RENT RECEIVABLE.xlsx,GET /api/rentals/companies?month=YYYY-MM,r_companies.monthly_rent_data,Per company,frontend/src/pages/RentalCompanies.tsx
Rentals Companies,Card KPI,NOI,Collected - total_expense_this_month,Rent + expenses,RENT RECEIVABLE + expenses,GET /api/rentals/companies?month=YYYY-MM,r_companies + r_expenses,Per company,frontend/src/pages/RentalCompanies.tsx
Rent Receivable Upload,Parser,Unit rent_history,Each month column (Jan-2026 Feb-2026 etc) per unit row,Excel sheet per company,RENT RECEIVABLE.xlsx,POST /api/rentals/import-portfolio/preview,r_units.rent_history,All months in file,backend/services/rent_receivable_parser.py
Rent Receivable Upload,Parser,Company monthly_rent_data,Sum of all unit rents per month,Excel aggregation,RENT RECEIVABLE.xlsx,Sync / Load Portfolio,r_companies.monthly_rent_data,Per month column,backend/routers/rentals/router.py (_registry_monthly_totals)
Rent Receivable Upload,Parser,Gross Potential,max(monthly_totals) across months in sheet,Excel peak month,RENT RECEIVABLE.xlsx,Sync Rent Data,r_companies.gross_potential_rent,Highest month,backend/services/rent_receivable_parser.py
Rent Receivable Upload,Parser,Vacancy Loss,Sum of unit vacancy_loss for vacant units at target month,Excel vacant rows,RENT RECEIVABLE.xlsx,Sync Rent Data,r_units.vacancy_loss,Per sync month,backend/services/rent_receivable_parser.py
